Annee;Nom du partenaire;N SIRET;Adresse;Code postal;Ville;Intitule de la demande;Appel a projets;Appel a projets Politique Ville;Montant demande;Montant vote par demande;Total vote en 2013;Fonctionnement;Subventions sur projet;Subventions d'equipement;Subventions sans nature specifiee;S-PR-Numero SIMPA;Financee/Non Financee
2013;HANA SAN STUDIO;51774100500014;10 RUE SAINT-LUC;75018;PARIS;aide au projet pour le spectacle "Montagne 42";N;N;24500;15000;15000;;15000;;;20044;Financee
2013;Hip Hop Citoyens;49064704700011;23 RUE BOYER;75020;PARIS;Financement du festival Paris Hip-Hop 2013, et travail annuel de fonctionnement de Hip-Hop Citoyens.;N;N;80000;72000;72000;40000;27000;;5000;13525;Financee
2013;I LOVE THIS DANCE;52992814500018;116 RUE DES PYReNeES;75020;PARIS;I LOVE THIS WEEK : ATELIERS;N;N;6400;;;;;;;46744;Non financee
2013;Immuno-deficiences primitives-Recherche -Information-soutien;47799817300025;3 RUE DE LA PAIX;55100;VERDUN;Soutien des familles Atteintes de deficits immunitaires Primitifs;N;N;15000;5000;5000;5000;;;;89261;Financee
2013;IMP-ACTES INGENIERIE, MEDIATION, PATRIMOINE, ANIMATION, CULTURE, TERRITOIRE, ENVIRONNEMENT, SANTE;44748319900124;27 RUE HIPPOLYTE SARTY;94400;VITRY-SUR-SEINE;Masques et fetiches Porte de Vanves 75014;O;O;2200;;;;;;;2521;Non financee
2013;InC France-Mexique;52410952700019;137 AVENUE PARMENTIER;75010;PARIS;FESTIVAL DU FILM MEXICAIN a PARIS;N;N;2000;2000;2000;2000;;;;77162;Financee
2013;INSTANT SONORE;50448428800015;220 RUE DES PYRENEES;75020;PARIS;SUBVENTION POUR CREATION D'UN FESTIVAL DE JAZZ AUTOUR DE LA JOURNEE INTERNATION. DU JAZZ DE L'UNESCO;N;N;10000;5000;5000;;;;5000;20516;Financee
2013;Institut d'Education et des Pratiques Citoyennes;43444766000094;102 AVENUE MAURICE BERTEAUX;78500;SARTROUVILLE;Formation qualifiante dans le metier de la petite enfance;O;O;10000;;;;;;;85541;Non financee
2013;INSTITUT DE FORMATION D'ANIMATION ET DE CONSEIL;33273739400244;53 RUE DU RPC GILBERT;92600;ASNIERES SUR SEINE;Equipe mobile:action a destination des eleves decrocheurs, en voie de descolarisation, descolarises.;O;O;10000;;;;;;;14145;Non financee
2013;INSTITUT DU TOUT-MONDE;49015258400010;217 BOULEVARD SAINT GERMAIN;75007;PARIS;Parcours de sensibilisation autour de traite negriere, de l'esclavage et des abolitions.;N;N;7000;8500;8500;;8500;;;161441;Financee
2013;Institut protestant de theologie;31238101500014;83 BOULEVARD ARAGO;75014;PARIS;Fonctionnement de la bibliotheque et de l'espace documentaire du Fonds Ric?ur;N;N;15000;10000;10000;10000;;;;20517;Financee
2013;JAURES PANTIN PETIT J2P;41225455900013;32 RUE PETIT;75019;PARIS;Projet Paris Colleges-Familles;O;N;3600;;;;;;;19485;Non financee
2013;JAURES PANTIN PETIT J2P;41225455900013;32 RUE PETIT;75019;PARIS;VVV 2013 MILHAUD EN FETE;O;N;1500;;;;;;;19485;Non financee
2013;JAURES PANTIN PETIT J2P;41225455900013;32 RUE PETIT;75019;PARIS;VVV 2013 PIEDS D'IMMEUBLES EN EVENTAIL;O;N;1900;;;;;;;19485;Non financee
2013;JEUNESSE FEU VERT - FONDATION ROBERT STEINDECKER -(SECTION PREVENTION SPECIALISE PARIS);77569810300311;34 RUE DE PICPUS;75012;PARIS;DPVI Investissement: Realisation de cages de Foot mobiles sur la place Alphonse allais;N;N;8500;8500;8500;;;8500;;226;Financee
2013;JEUNESSE FEU VERT - FONDATION ROBERT STEINDECKER -(SECTION PREVENTION SPECIALISE PARIS);77569810300311;34 RUE DE PICPUS;75012;PARIS;VVV 2013 - SPORTS ET DECOUVERTE DES AUTRES;O;N;250;;;;;;;226;Non financee
2013;JUDO CLUB BAUDRICOURT;39256013200038;8 RUE RUE;75013;PARIS;amenagement du temps scolaire;O;N;9100;;;;;;;16668;Non financee
2013;kakophonie;78954820300015;99 RUE JEAN PIERRE TIMBAUD;75011;PARIS;pour la decouverte de l'univers sonore;O;N;7264;;;;;;;150261;Non financee
2013;KORHOM;53143654100027;76 RUE DU FAUBOURG SAINT-DENIS;75010;PARIS;ARE Ateliers de fabrication de jeux traditionnels du monde;O;N;9650;;;;;;;47682;Non financee
2013;LABOmatique;49981993600026;15 PASSAGE RAMEY;75018;PARIS;ARE-Atelier Conte multiculturel ARE-Atelier Chanson et clip ARE-Atelier Effets speciaux;O;N;39400;;;;;;;3521;Non financee
2013;LABORATOIRE PARIS REGION INNOVATION;51228464400025;24 RUE DE L'EST;75020;PARIS;TRAVAUX ESPACE HYBRIDE INCUBATEUR/CONNECTEUR DE LA RUE D E RENNES;N;N;1000000;1000000;1000000;;;;1000000;68361;Financee
2013;la Cause;51029716100018;15 RUE MONTMARTRE;75001;PARIS;Demande de subvention 2013 Ville de Paris au titre de la Jeunesse;N;N;3500;;;;;;;108363;Non financee
2013;La Compagnie;32562492200044;4 RUE DE JARENTE;75004;PARIS;ARE - Atelier de pratique theatrale "Raconte-moi une histoire";O;N;16600;;;;;;;52201;Non financee
2013;Electriciens sans frontieres L'Energie du Developpement;39452889700074;11 RUE DE L'AMIRAL HAMELIN;75016;PARIS;eclairage public durable au service de la reconstruction en Ha?ti;N;N;70000;70000;70000;;70000;;;4141;Financee
2013;Elus Locaux Contre le Sida, Ensemble, luttons contre le sida;40849900200025;84 RUE QUINCAMPOIX;75003;PARIS;information et mobilisation des elus dans la lutte contre le sida.;N;N;12000;12000;12000;12000;;;;19615;Financee
2013;EMMAUS SOLIDARITE;31723624800017;32 RUE DES BOURDONNAIS;75001;PARIS;Personnes en situation de precarite : Prevention, acces aux droits et acces aux soins;N;N;40000;20000;20000;20000;;;;24921;Financee
2013;ENTR AIDE;444154553;53 RUE DE L'OURCQ;75019;PARIS;Appel a Projet DASCO SDAEP Bureau 7.1 Projet Slam;O;N;4200;12600;12600;;;;12600;24621;Financee
2013;ENTR AIDE;444154553;53 RUE DE L'OURCQ;75019;PARIS;VVV 2013 Sejour en E ventail a Buthier;O;N;10000;;;;;;;24621;Non financee
2013;ESPACE 19;32228389600049;251 RUE DE CRIMeE;75019;PARIS;Fete de quartier (Fete de l'ete 4eme edition);O;O;5000;4000;4000;;4000;;;246;Financee
2013;ESPACE 19;32228389600049;251 RUE DE CRIMeE;75019;PARIS;Subvention de fonctionnement de l'Espace Public Numerique de l'association Espace 19;N;N;60000;54000;54000;16200;37800;;;246;Financee
2013;ESPACE 19;32228389600049;251 RUE DE CRIMeE;75019;PARIS;VVV On prend la route;O;N;3000;;;;;;;246;Non financee
2013;Espace Gabriel Lame;52942026700013;32 RUE BARON LEROY;75012;PARIS;SUBVENTION DE FONCTIONNEMENT;N;N;5000;;;;;;;80122;Non financee
2013;Espace Therapeutique d'Accompagnement Psychologique;53490327300017;57 bis BOULEVARD EXELMANS;75016;PARIS;Creation d'un dispositif d'accompagnement psychosocial;O;O;11500;;;;;;;63421;Non financee
2013;ESPOIR 18;45057218500038;44 RUE LeON;75018;PARIS;VVV Prevention de la delinquance par un sejour sportif et artistique pour des jeunes de 16 a 18 ans.;O;N;7000;;;;;;;15254;Non financee
2013;Estrelia;34878236800032;10 RUE PERDONNET;75010;PARIS;Equipe psychosociale de l'H?pital mere enfant de l'est parisien;N;N;315726;257615;257615;257615;;;;15992;Financee
2013;Extramuros l'Association;50205627800026;14 CHEMIN DES PETITS MARAIS;92230;GENNEVILLIERS;Appel a projet Politique de la Ville;O;O;14000;19000;19000;;19000;;;15247;Financee
2013;EXTRAVAGANT INDIA !;79043409600018;7 RUE JULES VALLES;75011;PARIS;Soutien pour promotion du festival de films Indiens;N;N;2000;2000;2000;2000;;;;134062;Financee
2013;FEDERATION D'ASSOCIATIONS ET CENTRES D'EMIGRES ESPAGNOLS EN FRANCE;38495679300028;10 RUE CRISTINO GARCIA;93210;LA PLAINE SAINT DENIS;Contre la violence de genre, une seule reponse: l'egalite. Actions 2013;N;N;13000;8000;8000;;8000;;;19774;Financee
2013;Federation des Tunisiens pour une citoyennete des deux Rives;32709759800061;23 RUE DU MAROC;75019;PARIS;Assises conjointes des assos de developpement et d'economie solidaire de l'immigration et de Tunisie;N;N;20000;;;;;;;13890;Non financee
2013;Federation des Tunisiens pour une citoyennete des deux Rives;32709759800061;23 RUE DU MAROC;75019;PARIS;permanence accueil soutien juridique;N;N;10000;;;;;;;13890;Non financee
2013;Femmes de la Terre;39940662800046;2 RUE DE LA SOLIDARITe;75019;PARIS;Co-financement DPVI d'un poste Adulte-Relais Convention AR n?075 06 R T094 02;N;N;4706;4706;4706;;;;4706;13527;Financee
2013;L'Aire a Mots;42110284900013;99 BOULEVARD MAGENTA;75010;PARIS;Rythmes Scolaires;O;N;9965;;;;;;;12366;Non financee
2013;13 POUR TOUS;48905531900011;4 PLACE DE LA VeNeTIE;75013;PARIS;co financement adulte relais 07508R044201;N;N;4706;4706;4706;4706;;;;19943;Financee
2013;13 POUR TOUS;48905531900011;4 PLACE DE LA VeNeTIE;75013;PARIS;Histoires de Vie;O;O;10000;;;;;;;19943;Non financee
2013;Accueil et Reclassement Feminin - Oeuvre des Gares - Lafayette;77568111700088;83 RUE DE SeVRES;75006;PARIS;MEDIATION FAMILIALE;N;N;6000;6000;6000;6000;;;;11385;Financee
2013;Accueil et Reclassement Feminin - Oeuvre des Gares - Lafayette;77568111700088;83 RUE DE SeVRES;75006;PARIS;Subvention de fonctionnement 2013 Creche ARFOG Bizot;N;N;248548;240375;240375;240375;;;;11385;Financee
2013;accueil social familial et orientation des sans emplois du XVIeme;343413381;71 AVENUE HENRI MARTIN;75775;PARIS;subvention de fonctionnement;N;N;13000;;;;;;;21174;Non financee
2013;AcorpsD;51524640300015;30 RUE DE LA CHINE;75020;PARIS;ARE atelier de danse contemporaine;O;N;4900;4900;4900;;;;4900;147541;Financee
2013;ADLC Cie;75339290100017;3 PLACE PeRE CHAILLET;75011;PARIS;Demande de subvention d'aide au projet;N;N;7000;;;;;;;120881;Non financee
2013;ADVANCITY;48782809700013;6 AVENUE BLAISE PASCAL;77455;MARNE LA VALLEE CEDEX 2;Animation du p?le;N;N;40000;20000;20000;20000;;;;45442;Financee
2013;Afrique et Nouvelles Interdependances;45287605500032;22 RUE RUE DePARCIEUX;75014;PARIS;Marianne&moi: sensibiliser les jeunes de 9 a 11 a la citoyennete proactive;O;N;5000;5000;5000;;5000;;;13593;Financee
2013;agate association de gestion des appartements temporaires;44902374600034;181 AVENUE DAUMESNIL;75012;PARIS;subvention de fonctionnement complementaire;N;N;10000;10000;10000;;;;10000;6723;Financee
2013;Agence pour la promotion de la creation industrielle;32874761300052;24 RUE DU CHAROLAIS;75012;PARIS;Subvention pour accompagnement en design des entreprises agences designers etudiants de la Ville;N;N;40000;35000;35000;35000;;;;21741;Financee
2013;A.H.M.E. MUSEE DE L'EVENTAIL HERVE HOGUET;42057389100017;2 BOULEVARD DE STRASBOURG;75010;PARIS;Subvention annuelle et subvention exceptionnelle;N;N;15800;5000;5000;5000;;;;21123;Financee
2013;ARC 75;31799229500012;57 RUE SAINT-LOUIS-EN-L'ILE;75004;PARIS;"VVV - T'es cap ?";O;N;0;;;;;;;2507;Non financee
2013;ARC 75;31799229500012;57 RUE SAINT-LOUIS-EN-L'ILE;75004;PARIS;"VVV - Theatre et art de rue";O;N;0;;;;;;;2507;Non financee
2013;ARGENTEUIL THeaTRE PUBLIC;43172280000015;239 ROUTE D' ENGHIEN;95100;ARGENTEUIL;theatre seniors;N;N;3000;;;;;;;127001;Non financee
2013;Coordination Toxicomanies;43533315800028;46 RUE CUSTINE;75018;PARIS;ZSP - Suivi medico-social individualise des consommateurs de drogues en ZSP;N;N;161603;;;;;;;28602;Non financee
2013;COULEURS PAYS;53318481800011;1 RUE FREDERICK LEMAITRE;75020;PARIS;projet ART FREEDOM;N;N;2500;2500;2500;;2500;;;17899;Financee
2013;Coup de main;41190781900030;31 AVENUE EDOUARD VAILLANT;93500;PANTIN;Fonctionnement recyclerie Paris 20eme Coup de main 2013 BIES + DPE;N;N;78465;20000;20000;;;;20000;49281;Financee
2013;Creche les 400 coups;33808653100013;1 RUE JEAN MACe;75011;PARIS;Fonctionnement courant de l?association pour l?annee 2013;N;N;49499;46591;46591;46591;;;;20745;Financee
2013;CRESCENDO;78481011100350;102 C RUE AMELOT;75011;PARIS;Co-financement DPVI d'un poste Adulte-Relais n? 075 08 R0475 01;N;N;4706;;;;;;;9608;Non financee
2013;DAYMA;45030206200036;15 PASSAGE RAMEY;75018;PARIS;ARE-Ateliers Danse et Poesie;O;N;4000;4000;4000;;;;4000;1841;Financee
2013;Desord'oeuvres;75143940700014;78 RUE TRAVERSIeRE;75012;PARIS;Financement d'une exposition sur le theme des Bains - Douches;N;N;3500;;;;;;;112001;Non financee
2013;DOUBLE JEU TENNIS PARIS.;51419824100010;61 RUE BEAUBOURG;75003;PARIS;Organisation en 2013 de la 8eme edition du tournoi international de tennis de Paris;N;N;3000;2500;2500;2500;;;;17080;Financee
2013;DS URBA Consultants;44125116200026;236 BOULEVARD DE LA VILLETTE;75019;PARIS;" LE PATRIMOINE ET L'ESPACE PUBLIC... COMMENT LES UTILISER?";O;N;10000;;;;;;;63742;Non financee
2013;Dumas Reunion;48463084300015;65 RUE DES HAIES;75020;PARIS;Forum des sports;O;N;2582;;;;;;;47661;Non financee
2013;EBONY & IVORY;44523200200029;20 RUE DE ROMAINVILLE;75019;PARIS;Quality Street Finest;N;N;9000;5000;5000;;5000;;;39181;Financee
2013;ECHOMUSEE;50460010700016;21 RUE CAVe;75018;PARIS;Les rendez-vous contes de l?oralite a l?echomusee ? Le Conte Goutte ?;O;O;8785;6000;6000;;4500;;1500;10827;Financee
2013;ELLE'S IMAGINE'NT;51342138800010;121 RUE DE JAVEL;75015;PARIS;Fonctionnement courant de l'association Elle's IMAGINE'nt pour l'annee 2013;N;N;7000;5000;5000;;5000;;;13445;Financee
2013;EMMAUS SOLIDARITE;31723624800017;32 RUE DES BOURDONNAIS;75001;PARIS;Espace d'accueil "LE KIOSQUE";O;N;292162;282000;282000;282000;;;;24921;Financee
2013;EN AVANT DE PARIS;33016669500016;10 RUE HUYGHENS;75014;PARIS;Gymnastique - atelier activites periscolaires;O;N;18000;;;;;;;16862;Non financee
2013;Enfance et Famille d'Adoption association des foyers adoptifs de Paris;80011944800010;221 RUE LA FAYETTE;75010;PARIS;Aide financiere pour le soutien a la parentalite adoptive.;N;N;3500;3500;3500;3500;;;;20378;Financee
2013;ENSEMBLE ALTERNANCE;32907479300061;8 RUE D' ORMESSON;75004;PARIS;subvention de fonctionnement;N;N;10000;3000;3000;3000;;;;58781;Financee
2013;ENTENTE PARIS EST ESCRIME;49258993200010;8 RUE DU GeReRAL RENAULT;75011;PARIS;Soutien au paiement du Gymnase afin de maintenir et de developper l'activite du Club;N;N;8000;2100;2100;2100;;;;1;Financee
2013;ENTENTE SPORTIVE ET CULTURELLE DU XI EME (ESC XIEME);44797313200023;8 RUE DU GeNeRAL RENAULT;75011;PARIS;FONCTIONNEMENT;N;N;18000;12400;12400;12400;;;;290;Financee
2013;La maison du Canal, regie de quartier Paris 10;51227430900016;13-17 RUE LOUIS BLANC;75010;PARIS;Projet d'insertion professionnel. Accompagnement au passage du Code pour le Permis B;O;O;8000;;;;;;;10068;Non financee
2013;Langues en Scene;52455769100010;2 RUE MAZARIN;64500;SAINT JEAN DE LUZ;ARE APPEL A PROJETS D'ATELIERS D'ANIMATION CULTURELS ET INNOVANTS;O;N;29440;29440;29440;;;;29440;20563;Financee
2013;La Petite Rockette;50882247500028;125 RUE DU CHEMIN VERT;75011;PARIS;trophees de l'ESS;O;N;25000;15000;15000;15000;;;;59841;Financee
2013;l'Archanthrope;520171836;40 RUE BELLEVILLE;75020;PARIS;Aide au projet/diffusion danse;N;N;12000;;;;;;;120261;Non financee
2013;LA SOCIeTe DES eCRANS;52884045700014;56 RUE DE LA MONTAGNE STE GENEVIeVE;75005;PARIS;DEMANDE DE SUBVENTION D'AIDE AU PROJET;N;N;10000;;;;;;;65063;Non financee
2013;L'Atelier du Quartier;49387528000015;81 RUE BLOMET;75015;PARIS;Subvention de fonctionnement;N;N;5000;;;;;;;17782;Non financee
2013;Idiomecanic Theatre;50486371300021;31 RUE DES BOURDONNAIS;75001;PARIS;"Rosmersholm" de Henrik Ibsen;N;N;15000;;;;;;;20346;Non financee
2013;IKI ARTPROJECT;75087327500010;1bis RUE GARREAU;75018;PARIS;Binet a la rencontre du Japon;O;O;6500;1500;1500;;1500;;;114541;Financee
2013;IMP-ACTES INGENIERIE, MEDIATION, PATRIMOINE, ANIMATION, CULTURE, TERRITOIRE, ENVIRONNEMENT, SANTE;44748319900124;27 RUE HIPPOLYTE SARTY;94400;VITRY-SUR-SEINE;Tablette, SMS & Parchemin Fontaine au roi 75011;O;O;2500;;;;;;;2521;Non financee
2013;Institut National des Metiers d'Art;30633056400023;23 AVENUE DAUMESNIL;75012;PARIS;Journees Europeennes des Metiers d'Art a Paris / 2013;N;N;10000;10000;10000;;10000;;;20311;Financee
2013;Intra-Muros;75180085500015;21 RUE PAUL DE KOCK;75019;PARIS;Projet Photo "Des Images et des mots" au Liban;N;N;2500;;;;;;;120281;Non financee
2013;JEUNESSE LOUBAVITCH OU BETH LOUBAVITCH;78441431000010;8 RUE LAMARTINE;75009;PARIS;Fonctionnement 2013 Creche Loubavitch;N;N;59438;36774;36774;36774;;;;20081;Financee
2013;kasbah sur scene;45374770100028;50 RUE DE CLIGNANCOURT;75018;PARIS;YEMMA Creation Musicale autour de la Memoire de nos Meres;O;O;6700;;;;;;;111742;Non financee
2013;LA BANDE A GODOT;75200941500015;2 RUE DE PANAMA;75018;PARIS;Moi, Mon Quartier, Ma Ville...19e Atelier annuel de parole et de pratique theatrale. intergeneratio;O;O;6000;1000;1000;;1000;;;106661;Financee
2013;LA CHAPELLE;41159337900018;81 RUE RIQUET;75018;PARIS;Co-financement DPVI d'un poste adulte relais conv 075 02 RT038 030 102;N;N;4706;4706;4706;;4706;;;15226;Financee
2013;La Compagnie des Papillons dans le ventre;49479697200029;41 RUE RAYMOND DU TEMPLE;94300;VINCENNES;Financement appel a projet culturel;O;N;4800;4800;4800;;;;4800;149321;Financee
2013;LA DOMREMY BASKET 13 (LDB 13);45018205000036;5 RUE AUMONT;75013;PARIS;Convention d'objectifs;N;N;22000;20000;20000;20000;;;;45;Financee
2013;La Fabrique des Petits Hasards;48013001200028;173 BOULEVARD PEREIRE;75017;PARIS;Ecole de spectateur / Travail en lien avec la mediatrice culturelle du quartier;O;O;10500;;;;;;;11246;Non financee
2013;La Fabrique des Petits Hasards;48013001200028;173 BOULEVARD PEREIRE;75017;PARIS;Le theatre comme outil de parole: public handicape Institut national des jeunes aveugles;O;N;8000;6500;6500;;6500;;;11246;Financee
2013;Centre d'etudes, de formation et d'insertion par la langue;51815788800026;11 RUE DE LA CHAPELLE;75018;PARIS;Deux mains pour apprendre;N;N;16000;8000;8000;8000;;;;13585;Financee
2013;Centre Ornithologique Ile-de-France;31643058600057;55 RUE BUFFON;75005;PARIS;Observatoire regional des oiseaux communs;N;N;1000;1000;1000;;1000;;;16497;Financee
2013;CENTRE PRIMO LEVI;40112135500010;107 AVENUE PARMENTIER;75011;PARIS;Soins et soutien a des victimes de violence politique exilees en France - Demande a la DASES;N;N;40000;35000;35000;;;;35000;18209;Financee
2013;PLIE de Paris Nord-Est.;48338140600022;10 RUE SAINT MATHIEU;75018;PARIS;Renouvellement de la demande subvention 2013 BIES pour 2 postes;N;N;34000;34000;34000;34000;;;;39803;Financee
2013;PLUS LOIN;39344280100048;4 RUE PAUL JEAN TOULET;75020;PARIS;dynamisation du quartier St Blaise;O;O;4000;2000;2000;;;;2000;13486;Financee
2013;PLUS LOIN;39344280100048;4 RUE PAUL JEAN TOULET;75020;PARIS;VVV - Animations sportives de proximite;O;N;10000;4000;4000;4000;;;;13486;Financee
2013;POUCE ON PLANTE;78974094100016;45 BOULEVARD DE MENILMONTANT;75011;PARIS;? Paris metropole du paysage, les 10 ans de la Charte Main Verte ?;O;N;1823;1800;1800;;1800;;;96001;Financee
2013;POUR LE VILLAGE DE SAMAANE;48822794300013;52 RUE LIANCOURT;75014;PARIS;appels a projets ateliers educatifs pour les nouveaux rythmes scolaires;O;N;5000;;;;;;;3982;Non financee
2013;PRO MUSICIS;78457916100034;72 QUAI LOUIS BLeRIOT;75016;PARIS;Pro Musicis, le partage de la musique;N;N;15000;2000;2000;2000;;;;11885;Financee
2013;Federation Carnaval Tropical de Paris et D'ile de France;48464201200021;26 RUE DES RIGOLES;75020;PARIS;Ateliers artistiques autour du Carnaval Tropical de Paris pour accroItre sa qualite et son ampleur;N;N;25000;;;;;;;69781;Non financee
2013;Federation des Associations Generales Etudiantes;39783442500068;1 PLACE DE LA LIBERTe;67000;STRASBOURG;Projet d'education a la citoyennete autour de la precarite, du handicap et du developpement durable;N;N;10000;10000;10000;;;;10000;20416;Financee
2013;Federation des Aveugles et Handicapes Visuels de France;78431331400014;6 RUE GAGER-GABILLOT;75015;PARIS;Histoire de la cecite et des aveugles - Representations, institutions, archives.;O;N;8000;8000;8000;8000;;;;139881;Financee
2013;FEDERATION FRANCAISE DE ROLLER SPORTS;37846786400039;6 BOULEVARD FRANKLLIN ROOSEVELT;33080;BORDEAUX;Demi-finales et finales de la Coupe de France Homme et Femme de Roller Hockey (13-14/04/13);N;N;6000;3000;3000;3000;;;;58741;Financee
2013;FEDERATION FRANCAISE DE SAVATE BOXE FRANCAISE ET DISCIPLINES ASSOCIEES FFSBF ET DA;30976861200025;49 RUE DU FG POISSONNIERE;75009;PARIS;DEMANDE DE SUBVENTION POUR ORGANISER LA FINALE DU CHAMPIONNAT DE FRANCE ELITE A;N;N;20000;20000;20000;;;;20000;18647;Financee
2013;Federation Nationale des Anciens Combattants d'Algerie, Maroc et Tunisie Departement de Paris;53530305100010;13 RUE EDOUARD MANET;75013;PARIS;Fonctionnement + Travail de Memoire + Ceremonies officielles + Participation au loyer;N;N;54100;36850;36850;36850;;;;35661;Financee
2013;FEDERATION NATIONALE DES BLESSES DU POUMON-COMBATTANTS;77568221400017;57 RUE BOBILLOT;75013;PARIS;Demande subvention compensatrice de loyer;N;N;22500;;;;;;;20101;Non financee
2013;Femmes de la Terre;39940662800046;2 RUE DE LA SOLIDARITe;75019;PARIS;Permanence juridique et sociale pour les femmes immigrees ou issues de l'immigration...;N;N;12000;6000;6000;;6000;;;13527;Financee
2013;FESTIVAL DE FILMS DE LA DIASPORA AFRICAINE;52539025800016;158 RUE DE MENILMONTANT;75020;PARIS;Fonctionnement courant de l?association Festival de Films de la Diaspora Africaine pour l?annee 2013;N;N;10000;;;;;;;47143;Non financee
2013;FNATH Association des Accidentes de la Vie;77639916400040;11 RUE DU CHEMIN VERT;75011;PARIS;Prevention des accidents domestiques aupres des personnes agees et des jeunes enfants;N;N;2000;2000;2000;2000;;;;84261;Financee
2013;FONDS INTERNATIONAL POUR LA PRESERVATION DES ARTS MARTIAUX;53870970000024;23 RUE GRENETA;75002;PARIS;Demande d'aide financiere pour la preservation de la memoire des arts martiaux.;N;N;10000;;;;;;;19961;Non financee
2013;Fontaine O Livres;42890588900013;5 PASSAGE PIVER;75011;PARIS;Accompagnement des entrepreneurs de la filiere livre;O;O;8000;;;;;;;5521;Non financee
2013;FORUM D'ANIMATION DE CREATION D'EXPRESSION ET DE LOISIRS - (FORANIM);34325682200010;48 RUE BARGUE;75015;PARIS;Atelier de YOGA pour les enfants des ecoles;O;N;7000;;;;;;;557;Non financee
2013;FRANCE eNERGIE EMPLOI;41180303400031;203 RUE CARNOT;94722;FONTENAY SOUS BOIS CEDEX;Former et accompagner les seniors parisiens au demarrage d'une activite d'independant;O;N;62160;;;;;;;26562;Non financee
2013;GABY SOURIRE;47978923200011;12 RUE SAINT-MATHIEU;75018;PARIS;Subvention de fonctionnement;N;N;10000;;;;;;;1188;Non financee
2013;Gaia Paris;49369278400017;62 bis AVENUE PARMENTIER;75011;PARIS;Amenagement de la salle de consommation a moindre risque;N;N;30000;;;;;;;81741;Non financee
2013;GAN MENAHEM;34830108600024;2 RUE TRISTAN TZARA;75018;PARIS;GAN MENAHEM - JARDIN D'ENFANTS SINAI FONCTIONNEMENT 2013;N;N;343969;289199;289199;289199;;;;19857;Financee
2013;Graine de Partage;48188115900018;51 RUE DE CHARENTON;75012;PARIS;demande pour permettre la mise en place de deux ateliers l'un de philo et l'autre de theatre;O;N;10340;5540;5540;;;;5540;39301;Financee
2013;Association LANTERNE MAGIQUE France;53490398400019;71 RUE DE LA FONTAINE AU ROI;75011;PARIS;ARE - Atelier Lanterne Magique;O;N;50100;46550;46550;;;;46550;151581;Financee
2013;Estrelia;34878236800032;10 RUE PERDONNET;75010;PARIS;creche collective libellule et papillon;N;N;137809;81688;81688;81688;;;;15992;Financee
2013;FEDERATION DU CONSEIL DES MARIANNES DE LA REPUBLIQUE ET D'EUROPE-FEDERATION CMR EUROPE;50742978000018;181 AVENUE DAUMESNIL;75012;PARIS;6eme edition de la `?SISTATCOMI?? `?Semaine de la Memoire, du souvenir des Tirailleurs Africains;N;N;12000;;;;;;;16283;Non financee
2013;FEDERATION FRANCAISE D'ESCRIME -(FFE);77567560600062;36 AVENUE DU GeNeRAL DE GAULLE;93170;BAGNOLET;Challenge Monal 2013 Coupe du monde a l'Epee Hommes;N;N;5000;15000;15000;;;;15000;16301;Financee
2013;FEDERATION FRANCAISE DE VOLLEY BALL;78440612600044;17 RUE GEORGES CLEMENCEAU;94607;CHOISY LE ROI CEDEX;Finales de la Coupe de France 2013. 4 finales;N;N;15000;15000;15000;15000;;;;18529;Financee
2013;Femmes sourdes citoyennes et solidaires (FSCS);50071635200025;163 RUE DE CHARENTON;75012;PARIS;Accueil et permanence juridique des femmes sourdes victimes de violences masculines;N;N;14000;;;;;;;162461;Non financee
2013;Festival d'Automne a Paris;78439645900041;156 RUE DE RIVOLI;75001;PARIS;FESTIVAL D'AUTOMNE a PARIS 2013;N;N;780700;709200;709200;709200;;;;8381;Financee
2013;Festival d'Ile de France;30907218900066;51 RUE SAINTE-ANNE;75002;PARIS;Festival d'Ile de France;N;N;30000;15000;15000;15000;;;;60301;Financee
2013;accent.prod;52155058200014;10 RUE JACQUES KELLNER;75017;PARIS;Atelier opera: Les barbiers de Paris;O;N;28710;;;;;;;57666;Non financee
2013;ACCUEIL DES TOUS PETITS AU BON CONSEIL;32348016000015;6 RUE ALBERT DE LAPPARENT;75007;PARIS;demande de subvention de fonctionnement pour la halte garderie ACCUEIL DES TOUT PETITS AU BON CONSEI;N;N;14665;10980;10980;10980;;;;31901;Financee
2013;Accueil et Reclassement Feminin - Oeuvre des Gares - Lafayette;77568111700088;83 RUE DE SeVRES;75006;PARIS;Action d'accompagnement global de femmes monoparentales en situation de precarite;O;O;40000;40000;40000;40000;;;;11385;Financee
2013;ACCUEIL GOUTTE D'OR;40864600800057;26 RUE DE LAGHOUAT;75018;PARIS;VVV SORTIES FAMILIALES ETE 2013;O;N;800;;;;;;;9510;Non financee
2013;ACTION JEUNESSE;42984922700013;74 RUE CLISSON;75013;PARIS;PROPOSITION DE 2 PROJETS RYTHMES SCOLAIRES;O;N;4540;2275;2275;;2275;;;1510;Financee
2013;AFREECA IT;79444560100014;21 VILLA DES NYMPHEAS;75020;PARIS;PC portable et licences de logiciels;N;N;2500;;;;;;;166441;Non financee
2013;afrikevents;49324926200012;34 RUE CARNOT;93100;MONTREUIL;demande de soutien au Labo Ethnik Fashion Weekend 2013;N;N;30000;20000;20000;;20000;;;21070;Financee
