Annee;Nom du partenaire;N SIRET;Adresse;Code postal;Ville;Intitule de la demande;Appel a projets;Appel a projets Politique Ville;Montant demande;Montant vote par demande;Total vote en 2013;Fonctionnement;Subventions sur projet;Subventions d'equipement;Subventions sans nature specifiee;S-PR-Numero SIMPA;Financee/Non Financee
2013;VERTICAL12;51516717900016;181 AVENUE DAUMESNIL;75012;PARIS;Aide au fonctionnement de Vertical 12 et a la formation d'encadrants benevoles pour l'annee 2013.;N;N;2000;1900;1900;1900;;;;3022;Financee
2013;Village Losserand amis du patrimoine;48075270800010;22 RUE DEPARCIEUX;75014;PARIS;Exposition pour la journee du patrimoine Mairie du 14ieme;N;N;1500;1500;1500;1500;;;;56402;Financee
2013;VISEMPLOI;44875887000027;33 BOULEVARD DE CLICHY;75009;PARIS;Aide a l'insertion des chercheurs d'emploi en difficulte du 15 eme arrondissement;N;N;1000;1000;1000;1000;;;;19392;Financee
2013;Memoire Juive-mjdp;52288765200017;17 RUE GEOFFROY L'ASNIER;75004;PARIS;Realisation d'un DVD "Un regard sur l'immigration et l'integration des Juifs en France. 1880-1948;N;N;5000;3000;3000;3000;;;;19451;Financee
2013;microlithe;43361672900011;59 bis RUE OLIVIER MeTRA;75020;PARIS;Presentation de l?action : ? ACTI-VVV?ETE -Video Maton ?, creation par des 13-15 ans d?une cabine ?;O;N;5800;1000;1000;1000;;;;17941;Financee
2013;Millesabots dans Paris;79127949000019;5 RUE DES FEUILLANTINES;75005;PARIS;Aide au fonctionnement de l'association Millesabots dans Paris;N;N;3000;;;;;;;146341;Non financee
2013;Mode et Handicap c'est Possible!;48136755500010;14 RUE VAN LOO;75016;PARIS;? Mois Extraordinaire ? initie par la Ville de Paris - Une mode qui sublime les differences.;O;O;8000;;;;;;;761;Non financee
2013;M?m'Ganne;50933779600015;4 PLACE DE LA PORTE DE BAGNOLET;75020;PARIS;VVV - Le signe dans tous ses etats;O;O;2000;;;;;;;10246;Non financee
2013;Multi'Colors;45355810800016;2 SQUARE D' AMIENS;75020;PARIS;Appel a projet Accompagnement a la scolarite 2012/2013;O;N;3000;;;;;;;19205;Non financee
2013;Multi'Colors;45355810800016;2 SQUARE D' AMIENS;75020;PARIS;ARE-Atelier d'education a la nature Multi'Colors;O;N;5500;;;;;;;19205;Non financee
2013;Musique Sacree a Notre-Dame de Paris;38291565000016;39 BOULEVARD SAINT-GERMAIN;75005;PARIS;Assurer l'enseignement, le developement et le rayonnement du chant chorale dans le cadre de la maitr;N;N;228675;200000;200000;200000;;;;20406;Financee
2013;Ney village;48358640000010;11 RUE CHARLES LAUTH;75018;PARIS;Action d'animation en direction des jeunes Roms de la Porte d'Aubervilliers;N;N;2000;;;;;;;13505;Non financee
2013;OASIS 18;42304179700030;12 RUE CAMILLE FLAMMARION;75018;PARIS;VVV "Sejour a SOULAC";O;N;1500;;;;;;;9522;Non financee
2013;Oberon;79084371800012;17 RUE ALPHONSE DAUDET;75014;PARIS;ARE- Ateliers de theatre;O;N;7260;;;;;;;122221;Non financee
2013;OEUVRE DE SECOURS AUX ENFANTS ET DE PROTECTION SANITAIRE DES POPULATIONS JUIVES (OSE);77568133100176;117 RUE DU FAUBOURG DU TEMPLE;75010;PARIS;Ouverture en soiree du Centre D?accueil de Jour Joseph Weill pour personnes malades d'Alzheimer;N;N;10000;4000;4000;4000;;;;8022;Financee
2013;OFFICE CENTRAL DE LA COOPERATION A L ECOLE DE PARIS;39333748000031;149 RUE VAUGIRARD;75015;PARIS;Subvention des projets educatifs et voyages scolaires des foyers cooperatifs des lycees municipaux.;N;N;50000;50000;50000;;50000;;;20499;Financee
