Geo point;ARRONDISSEMENT;GENRE;ESPECE;FAMILLE;ANNEE PLANTATION;HAUTEUR;CIRCONFERENCE;ADRESSE;NOM COMMUN;VARIETE;OBJECTID;NOM_EV
48.8880577555, 2.31595908796;17;Platanus;x acerifolia;Platanaceae;1840;30;595;Place Charles Filion, rue Cardinet;Platane commun;;41;Square des Batignolles
48.8597396934, 2.39997847741;20;Aesculus;hippocastanum;Sapindaceae;;22;345;Rue du repos, rue des Rondeaux;Marronnier d'Inde;;47;Cimetiere du Pere Lachaise
48.8622517606, 2.26098883991;16;Ginkgo;biloba;Ginkgoaceae;1893;18;215;;Arbre aux quarante ecus;;64;Bois de Boulogne (Berge du lac inferieur)
48.8336849895, 2.42111102704;12;Ginkgo;biloba;Ginkgoaceae;1865;25;255;;Arbre aux quarante ecus;;84;Bois de Vincennes (Ecole chiens guide d'aveugle)
48.8648376291, 2.36062929978;3;Corylus;colurna;Betulaceae;1882;20;210;Rue du Temple, rue de Bretagne, Rue Perree, rue Eugene-Spuller;Noisetier de Byzance;;1;Square du Temple
48.856902513, 2.33666989768;6;Catalpa;bignonioides;Bignoniaceae;;15;260;Rue de Seine, rue Mazarine;Catalpa commun;;5;Square Gabriel Pierne
48.8577766649, 2.29329076205;7;Platanus;orientalis;Platanaceae;1814;20;700;Quai Branly, avenue de La Motte-Piquet, avenue de la Bourdonnais, avenue de Suffren;Platane d'Orient;;8;Parc du Champs de Mars
48.8399672948, 2.43375148978;12;Fagus;sylvatica;Fagaceae;1865;20;530;avenue Daumesnil, Esplanade du Chateau de Vincennes;Hetre pleureur;Pendula;20;Bois de Vincennes (square Carnot)
48.827737189, 2.3592096955;13;Cedrus;atlantica;Pinaceae;1939;25;350;128-160 avenue de Choisy, rue Georges-Eastman, rue Charles-Moureu, rue du Docteur-Magn;Cedre bleu de l'Atlas;Glauca;24;Parc de Choisy
48.8723867386, 2.27912885453;16;Zelkova;carpinifolia;Ulmaceae;1852;30;395;Avenue Foch;Faux orme de Siberie;;29;Avenue Foch
48.8619170093, 2.2924448277;16;Paulownia;tomentosa;Paulowniaceae;;20;420;Place du Trocad,ro et du 11 Novembre, rue Benjamin Franklin, avenue Albert de Mun;Paulownia;;35;Jardin du Trocadero
48.8716117578, 2.24933653506;16;Araucaria;araucana;Araucariaceae;1907;9;140;Allee de Longchamp, route de Sevres a Neuilly;Desespoir du singe;;39;Bois de Boulogne (Bagatelle)
48.8691433358, 2.24587597613;16;Platanus;x acerifolia;Platanaceae;1847;40;480;Allee de Longchamp, route de Sevres a Neuilly;Platane commun;;40;Bois de Boulogne (Bagatelle)
48.8661956075, 2.26238964912;16;Platanus;orientalis;Platanaceae;1859;25;375;Ile du lac inferieur;Platane d'Orient;;49;Bois de Boulogne (?le du lac inferieur)
48.8215800145, 2.45494779675;12;Zelkova;carpinifolia;Ulmaceae;;12;245;Route de la Ferme, route de la Pyramide;Faux orme de Siberie;;50;Arboretum de Ecole du Breuil
48.8727584235, 2.2873548507;16;Platanus;x acerifolia;Platanaceae;1852;30;525;Avenue Foch;Platane commun;;55;Avenue Foch
48.8588189763, 2.25832952119;16;Magnolia;grandiflora;Magnoliaceae;1863;12;;Allee de Longchamp, carrefour des cascades;Magnolia a grandes fleurs;;66;Bois de Boulogne (Berge du lac inferieur)
48.86260617, 2.23782412563;16;Zelkova;carpinifolia;Ulmaceae;1896;16;260;;Faux orme de Siberie;;75;Bois de Boulogne (Moulin de Longchamp)
48.8395160905, 2.43350820893;12;Platanus;x acerifolia;Platanaceae;1918;32;570;avenue Daumesnil, Esplanade du Chateau de Vincennes;Platane commun;;82;Bois de Vincennes (Square Carnot)
48.833545551, 2.41033694606;12;platanus;orientalis;Platanaceae;1860;22;475;route de la ceinture du Lac Daumesnil;Platane d'Orient;;86;Bois de Vincennes (Lac Daumesnil/porte Doree)
48.8302532096, 2.41400587444;12;Acer;opalus;Sapindaceae;1870;15;160;Ile de Bercy;Erable d'Italie;;91;Bois de Vincennes (?le de Bercy)
